Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
1,-91,-15,-3,6,-71,0,0
1,-91,-15,-3,6,-71,0,0
1,-94,-14,-2,6,-71,0,0
1,-94,-14,-2,13,-75,0,0
1,-92,-17,-1,9,-71,0,0
1,-92,-17,-1,9,-71,2,4
1,-92,-17,-1,9,-71,0,0
1,-92,-17,-1,9,-71,2,4
1,-92,-13,1,9,-71,0,0
1,-92,-13,1,9,-71,2,4
1,-90,-13,2,9,-71,0,0
1,-90,-13,2,9,-71,0,0
1,-93,-16,-7,9,-71,0,0
1,-93,-16,-7,9,-71,0,0
1,-93,-14,-2,9,-71,0,0
1,-93,-14,-2,9,-71,0,0
1,-92,-18,-12,9,-71,0,0
1,-92,-18,-12,9,-71,0,0
1,-92,-19,-9,9,-71,0,0
1,-92,-19,-9,8,-74,0,0
1,-90,-18,1,6,-71,0,0
1,-90,-18,1,6,-71,0,0
1,-91,-16,1,6,-71,0,0
1,-91,-16,1,5,-73,0,0
1,-91,-15,3,12,-71,0,0
1,-91,-15,3,12,-71,2,4
1,-92,-17,-10,6,-73,0,0
1,-92,-17,-10,6,-73,0,0
1,-89,-14,2,12,-71,2,4
1,-89,-14,2,12,-71,15,27
1,-92,-13,4,12,-77,3,5
1,-92,-13,4,12,-77,0,0
1,-94,-13,-11,6,-73,2,4
1,-94,-13,-11,15,-68,0,0
1,-94,-13,0,7,-70,0,0
1,-94,-13,0,7,-70,0,0
1,-95,-12,-1,12,-72,0,0
1,-95,-12,-1,15,-70,0,0
1,-94,-14,2,15,-70,0,0
1,-94,-14,2,15,-70,0,0
1,-93,-12,-3,15,-70,0,0
1,-93,-12,-3,15,-70,0,0
1,-93,-14,-4,5,-76,0,0
1,-93,-14,-4,6,-70,0,0
1,-92,-16,-3,6,-70,0,0
1,-92,-16,-3,6,-70,0,0
1,-93,-12,-10,6,-70,0,0
1,-93,-12,-10,6,-70,0,0
1,-91,-13,0,11,-72,2,4
1,-91,-13,0,11,-72,2,4
1,-91,-13,-1,11,-72,0,0
1,-91,-13,-1,11,-72,2,4
1,-93,-12,3,11,-72,0,0
1,-93,-12,3,6,-70,0,0
1,-92,-17,-9,6,-70,0,0
1,-92,-17,-9,6,-70,0,0
1,-93,-13,-1,6,-70,0,0
1,-93,-13,-1,6,-70,0,0
1,-92,-16,-9,6,-70,0,0
1,-92,-16,-9,6,-70,0,0
1,-91,-15,-11,6,-70,0,0
1,-91,-15,-11,9,-75,1064,32
1,-93,-13,2,9,-75,7936,106
1,-93,-13,2,12,-70,5752,15
1,-92,-14,-3,12,-70,0,0
1,-92,-14,-3,12,-70,0,0
1,-94,-14,-8,12,-70,0,0
1,-94,-14,-8,12,-70,2,4
1,-93,-15,-6,12,-70,0,0
1,-93,-15,-6,12,-70,2,4
1,-92,-19,-9,12,-70,0,0
1,-92,-19,-9,12,-70,2,4
1,-93,-18,-5,12,-70,0,0
1,-93,-18,-5,12,-70,0,0
1,-93,-14,-5,12,-70,0,0
1,-93,-14,-5,12,-70,0,0
1,-92,-15,-12,12,-70,503,17
1,-92,-15,-12,12,-70,0,0
1,-91,-16,0,12,-70,0,0
1,-91,-16,0,8,-72,0,0
1,-92,-12,-1,8,-72,0,0
1,-92,-12,-1,8,-72,0,0
1,-91,-15,-6,8,-72,0,0
1,-91,-15,-6,8,-72,0,0
1,-92,-13,2,8,-72,15,27
1,-92,-13,2,8,-72,0,0
1,-91,-14,-3,8,-72,0,0
1,-91,-14,-3,8,-72,5,6
1,-92,-19,-11,8,-72,0,0
1,-92,-19,-11,8,-72,0,0
1,-91,-14,2,8,-72,2,4
1,-91,-14,2,8,-72,0,0
1,-92,-15,-1,8,-72,0,0
1,-92,-15,-1,13,-70,0,0
1,-92,-13,-11,13,-70,0,0
1,-92,-13,-11,5,-73,0,0
1,-92,-14,-7,9,-71,0,0
1,-92,-14,-7,9,-71,0,0
1,-91,-18,-11,9,-71,0,0
1,-91,-18,-11,9,-71,0,0
1,-94,-16,2,9,-71,0,0
1,-94,-16,2,9,-76,0,0
1,-91,-18,-5,4,-71,0,0
1,-91,-18,-5,4,-71,0,0
1,-92,-14,-2,4,-71,10725,67
1,-92,-14,-2,4,-71,0,0
1,-92,-18,-9,4,-71,2,4
1,-92,-18,-9,4,-71,0,0
1,-92,-13,2,4,-71,2,4
1,-92,-13,2,4,-71,0,0
1,-91,-13,3,4,-71,2,4
1,-91,-13,3,4,-71,0,0
1,-92,-11,4,4,-71,0,0
1,-92,-11,4,4,-71,0,0
1,-92,-11,3,4,-71,0,0
1,-92,-11,3,4,-71,0,0
1,-92,-12,-4,4,-71,0,0
1,-92,-12,-4,4,-71,0,0
1,-94,-13,1,4,-71,0,0
1,-94,-13,1,4,-71,102,37
1,-92,-16,-1,4,-71,78,37
1,-92,-16,-1,4,-71,58,21
1,-92,-17,-4,4,-71,0,0
